Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
7498,Delapan Lima,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"",,"-0.27982083333333335,122.31765805555555"
3712,Taloyan,"",KEPULAUAN RIAU,Kab. KEPULAUAN ANAMBAS,"",,"3.046111111111111,106.2213888888889"
7979,Pandan,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"",,"-6.346271111111111,120.4513775"
6792,Katupa Besar,"",SULAWESI TENGAH,Kab. DONGGALA,"",,"-0.059722222222222225,119.79833333333333"
12408,Mansinem,"",PAPUA BARAT,Kab. RAJA AMPAT,"",,"0.5974966666666667,131.1250077777778"
4064,Semakau Besar,"",KEPULAUAN RIAU,KOTA B A T A M,"",,"1.0952777777777778,103.83111111111111"
2087,Mempunai,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA SELATAN,"",,"-2.9761111111111114,106.35277777777777"
10470,Siloyang,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"",,"-1.505,128.63805555555555"
10622,Saniaman,"",MALUKU UTARA,Kab. KEPULAUAN SULA,"",,"-1.9425000000000001,125.78388888888888"
6811,Sayanggi,"",SULAWESI TENGAH,Kab. DONGGALA,"",,"0.7480555555555555,120.07916666666667"
8439,Komearate,"",SULAWESI TENGGARA,Kab. BUTON,"",,"-5.163055555555556,123.07"
9225,Madoran,"",MALUKU,Kab. SERAM BAGIAN TIMUR,"",,"-3.6430555555555557,131.06111111111113"
3421,Secawar Darat,"",KEPULAUAN RIAU,Kab. LINGGA,"",,"-0.00751,104.5049"
10548,Waringin,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"",,"-0.7963888888888889,128.15666666666667"
5515,Manjaga,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"",,"-8.5425,119.82972222222222"
10392,Morasa,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"",,"-1.5374999999999999,128.08583333333334"
9739,Siadarau,"",MALUKU,Kab. KEPULAUAN ARU,"",,"-6.241388888888889,134.42055555555555"
13150,Yabatan Tol,"",PAPUA BARAT,Kab. RAJA AMPAT,"",,"-2.0072508333333334,130.4844983333333"
5643,Belumbak Besar,"",KALIMANTAN BARAT,Kab. SANGGAU,"",,"-0.07833333333333334,110.26027777777777"
5445,Ufo Dale Kona,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"",,"-10.523515000000002,123.39434194444445"
6615,Sunggile Simbau,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"",,"1.7675049999999999,125.17499444444445"
4389,Wayang,"",JAWA TIMUR,Kab. PACITAN,"",,"-8.251805555555556,110.99220472222223"
413,DOLANGAN,"",SULAWESI TENGAH,Kab. TOLI-TOLI,TOLI-TOLI UTARA,,"1.3661111111111113,-119.11305555555555"
2127,Tukungkelasa Laut,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA TENGAH,"",,"-2.4658333333333333,106.97"
12992,Tum yef,"",PAPUA BARAT,Kab. RAJA AMPAT,"",,"0.5304116666666667,130.73118916666667"
690,Lalibo,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,,"-0.1113888888888889,0.5133333333333333"
