Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
1066,Saranggantong,"",ACEH,Kab. ACEH SINGKIL,"","","2.0694444444444446,97.35499999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1066
912,Bateeleblah,"",ACEH,Kab. ACEH BESAR,"","","5.7929788888888885,94.973915",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/912
1154,Tualang Mbelen,"",ACEH,KOTA SUBULUSSALAM,"","","2.770277777777778,97.835",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1154
990,Simeulue ,"",ACEH,Kab. SIMEULUE,"","","2.611666666666667,96.09583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/990
1067,Sarok,"",ACEH,Kab. ACEH SINGKIL,"","","2.268333333333333,97.80111111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1067
913,Bateelumpat,"",ACEH,Kab. ACEH BESAR,"","","5.5786830555555555,95.21600472222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/913
914,Bateepantee Lhok Nga,"",ACEH,Kab. ACEH BESAR,"","","5.434417777777778,95.23201527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/914
1068,Sarombang,"",ACEH,Kab. ACEH SINGKIL,"","","2.1816666666666666,97.32333333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1068
992,Siumat,"",ACEH,Kab. SIMEULUE,"","","2.6505555555555556,96.375",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/992
915,Bateerayeuk,"",ACEH,Kab. ACEH BESAR,"","","5.579444444444444,95.2",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/915
