Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
4861,Batujineng Kandik Barat,"",BALI,Kab. KLUNGKUNG,"","","-8.77992638888889,115.62925888888888"
4876,Kuan,"",BALI,Kab. KARANG ASEM,"","","-8.509244444444445,115.6143"
4871,Ceningan Nusa,"",BALI,Kab. KLUNGKUNG,"","","-8.7,115.45138888888889"
4867,Batupahet,"",BALI,Kab. KLUNGKUNG,"","","-8.758333333333333,115.47833333333334"
4857,Batu Dua,"",BALI,Kab. KLUNGKUNG,"","","-8.8,115.5275"
4872,Lembongan Nusa,"",BALI,Kab. KLUNGKUNG,"","","-8.678888888888888,115.45"
4879,Maimpang Utara,"",BALI,Kab. KARANG ASEM,"","","-8.524722222222223,115.57729972222222"
4860,Batubolong,"",BALI,Kab. KLUNGKUNG,"","","-8.7725725,115.48437527777777"
4869,Batuserutan,"",BALI,Kab. KLUNGKUNG,"","","-8.778944722222223,115.61977972222222"
4875,Biaha,"",BALI,Kab. KARANG ASEM,"","","-8.532222222222224,115.585"
4870,Batutemeling,"",BALI,Kab. KLUNGKUNG,"","","-8.772874444444446,115.49340722222222"
4858,Batu Satu,"",BALI,Kab. KLUNGKUNG,"","","-8.754166666666666,115.47277777777778"
4884,Serangan,"",BALI,KOTA DENPASAR,"","","-8.723968888888889,115.2324575"
4873,Nusapenida,"",BALI,Kab. KLUNGKUNG,"","","-8.737222222222222,115.53777777777778"
4855,Kalong,"",BALI,Kab. JEMBRANA,"","","-8.165000000000001,114.44500000000001"
4868,Batusepatu,"",BALI,Kab. KLUNGKUNG,"","","-8.770239444444446,115.48698277777778"
4859,Batuabah,"",BALI,Kab. KLUNGKUNG,"","","-8.777500000000002,115.63022222222222"
4864,Batukita,"",BALI,Kab. KLUNGKUNG,"","","-8.750258055555555,115.4517475"
4882,Menjangan,"",BALI,Kab. BULELENG,"","","-8.095833333333333,114.51527777777778"
4865,Batumejineng,"",BALI,Kab. KLUNGKUNG,"","","-8.714722222222221,115.4563888888889"
4866,Batupadasan,"",BALI,Kab. KLUNGKUNG,"","","-8.775555555555556,115.62583333333333"
4854,Burung,"",BALI,Kab. JEMBRANA,"","","-8.175660277777776,114.44957611111111"
4880,Selang,"",BALI,Kab. KARANG ASEM,"","","-8.400277777777777,115.71166666666667"
4862,Batujineng Kandik Timur,"",BALI,Kab. KLUNGKUNG,"","","-8.7803325,115.62968472222222"
4878,Maimpang Tengah,"",BALI,Kab. KARANG ASEM,"","","-8.525545833333334,115.57672472222222"
4863,Batujineng,"",BALI,Kab. KLUNGKUNG,"","","-8.803333333333335,115.52583333333334"
4877,Maimpang Selatan,"",BALI,Kab. KARANG ASEM,"","","-8.526214722222223,115.57573666666666"
