Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
4814,Mangir,"",BANTEN,Kab. PANDEGLANG,"","","-6.6773122222222225,105.5566361111111"
276,Tarahan,"",BANTEN,KOTA TANGERANG SELATAN,Bojonegoro,"","-5.948888888888889,0.11555555555555556"
4830,Tanjunglayar,"",BANTEN,Kab. LEBAK,"","","-6.994722222222222,106.30638888888889"
4848,Merak Besar,"",BANTEN,KOTA CILEGON,"","","-5.933611111111111,105.98972222222223"
278,Karang Parejakah,"",BANTEN,KOTA TANGERANG SELATAN,Cinangka,"",""
375,Kalih,"",BANTEN,Kab. SERANG,Pulo Ampel,"",""
4792,Badul,"",BANTEN,Kab. PANDEGLANG,"","","-6.708055555555556,105.50305555555556"
4820,Popole,"",BANTEN,Kab. PANDEGLANG,"","","-6.396111111111112,105.80805555555555"
286,Merak Kecil,"",BANTEN,KOTA CILEGON,Pulomerak,"","-5.941944444444444,0.9974999999999999"
284,Betingan,"",BANTEN,KOTA TANGERANG SELATAN,Teluk Naga,"","-6.006111111111111,0.6497222222222222"
4806,Karangeurih,"",BANTEN,Kab. PANDEGLANG,"","","-6.79,105.22833333333334"
4841,Sangiang,"",BANTEN,KOTA TANGERANG,"","","-5.954444444444444,105.85444444444444"
4843,Tarahan,"",BANTEN,KOTA TANGERANG,"","","-5.948888888888889,106.11555555555555"
282,Salira,"",BANTEN,KOTA TANGERANG SELATAN,Puloampel,"","-5.879444444444445,0.060833333333333336"
4807,Karangewoh,"",BANTEN,Kab. PANDEGLANG,"","","-6.751666666666667,105.20833333333334"
280,Kali Utara,"",BANTEN,KOTA TANGERANG SELATAN,Puloampel,"","-5.89861111111111,0.09055555555555556"
4809,Karangjajar,"",BANTEN,Kab. PANDEGLANG,"","","-6.6819444444444445,105.17916666666667"
272,Pisang,"",BANTEN,Kab. SERANG,"","","-5.996666666666667,0.15027777777777776"
273,Sangiang,"",BANTEN,KOTA TANGERANG SELATAN,Anyar,"","-5.954444444444444,0.8544444444444445"
4849,Plorida,"",BANTEN,KOTA CILEGON,"","","-5.902222222222223,106.01138888888889"
4818,Peucang,"",BANTEN,Kab. PANDEGLANG,"","","-6.74,105.25722222222223"
4850,Tempurung,"",BANTEN,KOTA CILEGON,"","","-5.901666666666667,105.93194444444445"
4795,Batuqur'an,"",BANTEN,Kab. PANDEGLANG,"","","-6.583630833333333,105.12626722222221"
4796,Boboko,"",BANTEN,Kab. PANDEGLANG,"","","-6.771388888888889,105.43583333333333"
4837,Karangparejakah,"",BANTEN,KOTA TANGERANG,"","","-6.138055555555556,0.8524999999999999"
374,Tunda,"",BANTEN,Kab. SERANG,Tirtayasa,"","-5.811944444444444,106.27972222222222"
4840,Salira,"",BANTEN,KOTA TANGERANG,"","","-5.879444444444445,106.06083333333333"
4826,Karangbokor,"",BANTEN,Kab. LEBAK,"","","-6.98,106.27972222222222"
4794,Batuputih,"",BANTEN,Kab. PANDEGLANG,"","","-6.667777777777778,105.19638888888889"
4810,Karangpabayang,"",BANTEN,Kab. PANDEGLANG,"","","-6.85361111111111,105.2625"
4834,Kali Selatan,"",BANTEN,KOTA TANGERANG,"","","-5.901111111111112,106.09305555555555"
4832,Betingan,"",BANTEN,KOTA TANGERANG,"","","-6.006111111111111,106.64972222222222"
4800,Kabuyutan,"",BANTEN,Kab. PANDEGLANG,"","","-6.794444444444444,105.22722222222222"
4847,Merak Kecil,"",BANTEN,KOTA CILEGON,"","","-5.941944444444444,105.9975"
287,Merak Besar,"",BANTEN,KOTA CILEGON,Pulomerak,"","-5.933611111111111,0.9897222222222222"
441,DELI,"",BANTEN,Kab. PANDEGLANG,CIKEUSIK,"","-7.005833333333333,-104.455"
279,Kali Selatan,"",BANTEN,KOTA TANGERANG SELATAN,Puloampel,"","-5.901111111111112,0.09305555555555556"
4829,Manuk,"",BANTEN,Kab. LEBAK,"","","-6.971666666666667,106.26194444444444"
4812,Karangtikukur,"",BANTEN,Kab. PANDEGLANG,"","","-6.7444444444444445,105.2125"
277,Karang Cawene,"",BANTEN,KOTA TANGERANG SELATAN,Cinangka,"",""
269,Lima,"",BANTEN,Kab. SERANG,"","",""
4804,Karangcopong Besar,"",BANTEN,Kab. PANDEGLANG,"","","-6.725555555555555,105.24694444444445"
4805,Karangcopong Kecil,"",BANTEN,Kab. PANDEGLANG,"","","-6.726547777777778,105.2466113888889"
