Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
1740,Dua Kecil,"",BENGKULU,Kab. BENGKULU UTARA,"","","-5.427777777777778,102.37833333333333"
1747,Tapakbalai,"",BENGKULU,Kab. BENGKULU UTARA,"","","-3.583055555555555,102.11388888888888"
1745,Satu,"",BENGKULU,Kab. BENGKULU UTARA,"","","-5.468468611111112,102.22441611111111"
1741,Dua,"",BENGKULU,Kab. BENGKULU UTARA,"","","-5.4430555555555555,102.3913888888889"
1749,Tikus,"",BENGKULU,KOTA BENGKULU,"",	3° 50' 17.977,""
443,MEGA,"",BENGKULU,Kab. BENGKULU UTARA,-,"","-4.0072222222222225,-100.95472222222223"
1744,Merbau,"",BENGKULU,Kab. BENGKULU UTARA,"","","-5.472761388888889,102.38509805555556"
1739,Bangkei,"",BENGKULU,Kab. BENGKULU UTARA,"","","-5.4662825,102.37289194444443"
295,ENGGANO,"",BENGKULU,Kab. BENGKULU UTARA,ENGGANO,"","-5.390277777777778,-101.76222222222222"
1746,Tapakarifin,"",BENGKULU,Kab. BENGKULU UTARA,"","","-3.424366111111111,101.89768388888889"
