Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
344,Lipan,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/344
4210,Opak Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.6786111111111115,106.58777777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4210
345,Sebaru Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/345
4211,Pabelokan,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.478888888888889,106.39305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4211
346,Kapas,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/346
4212,Panggang,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.7380555555555555,106.60111111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4212
347,Bundar,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/347
4214,Panjang Besar,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.643888888888888,106.56222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4214
348,Pantara Timur,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/348
4215,Panjang Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.641666666666667,106.55555555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4215
4216,Pantara  Barat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.536111111111111,106.53333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4216
349,Pantara Barat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/349
4217,Pantara Timur,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.528888888888889,106.54222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4217
350,Pabelokan,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/350
4220,Payung Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.814166666666667,106.54944444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4220
351,Gosongrengat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/351
4221,Pelangi,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.585833333333333,106.59027777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4221
352,Yu Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/352
4222,Pemagaran,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.634444444444444,106.58027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4222
353,Jukung,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/353
4223,Peniki,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.694444444444445,106.71222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4223
4146,Air,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.763333333333334,106.58305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4146
4224,Penjaliran Barat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.462777777777778,106.55555555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4224
4147,Ayer Besar,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-6.003888888888889,106.78111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4147
354,Saktu,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/354
4225,Penjaliran Timur,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.456952222222222,106.56893694444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4225
4148,Belanda,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.604775,106.60318388888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4148
4226,Perak,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.581944444444444,106.56888888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4226
355,Kelor Timur,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/355
4149,Biawak,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.852777777777778,106.62166666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4149
356,Kelor Barat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/356
4227,Peteloran Barat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.462777777777778,106.54555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4227
357,Cina,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/357
4150,Bidadari,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-6.035555555555556,106.74666666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4150
4228,Peteloran Timur,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.451944444444445,106.56444444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4228
4151,Bira ,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.611539444444444,106.57734944444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4151
4229,Pramuka,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.745555555555556,106.61388888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4229
358,Yu Besar,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","-5.549722222222222,106.51972222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/358
397,Harapan,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/397
359,Melinjo,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/359
4152,Bira Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.619444444444445,106.58361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4152
4233,Rambut,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.974166666666667,106.69222222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4233
360,Kayuangin Melintang,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/360
4153,Bokor,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.943333333333333,106.63083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4153
4234,Rengit,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.4925,106.57805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4234
4154,Bulat,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.626944444444445,106.57249999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4154
361,Kayuangin Putri,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,Kepulauan Seribu Utara,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/361
4235,Sabira,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.204166666666667,106.46111111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4235
4155,Bundar,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","-5.513019444444445,106.52742666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4155
362,Melintang Kecil,"",DKI JAKARTA,Kab. KEPULAUAN SERIBU,"","","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/362
