Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
8813,Limba,"",GORONTALO,Kab. BOALEMO,"","","0.4943691666666667,122.53021222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8813
8860,Payata,"",GORONTALO,Kab. POHUWATO,"","","0.5080555555555556,121.575",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8860
8814,Lipodo,"",GORONTALO,Kab. BOALEMO,"","","0.4852777777777778,122.34388888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8814
8861,Piloduhuge,"",GORONTALO,Kab. POHUWATO,"","","0.4911111111111111,121.5275",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8861
8815,Mohupomba Da'a,"",GORONTALO,Kab. BOALEMO,"","","0.4702777777777778,122.36055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8815
8862,Pomoliia Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.4449138888888889,121.96876388888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8862
8863,Pomoliia Kiki,"",GORONTALO,Kab. POHUWATO,"","","0.4461111111111111,121.98194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8863
8816,Mohupomba Kiki,"",GORONTALO,Kab. BOALEMO,"","","0.46555555555555556,122.34888888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8816
8817,Montuli,"",GORONTALO,Kab. BOALEMO,"","","0.43194444444444446,122.22916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8817
8864,Puntu Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.4986111111111111,121.69305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8864
8865,Puntu Kiki,"",GORONTALO,Kab. POHUWATO,"","","0.5108333333333334,121.67694444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8865
8818,Mopinggulo,"",GORONTALO,Kab. BOALEMO,"","","0.45861111111111114,122.33055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8818
8866,Putia,"",GORONTALO,Kab. POHUWATO,"","","0.527536388888889,121.54776027777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8866
8867,Saharina,"",GORONTALO,Kab. POHUWATO,"","","0.49,121.66888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8867
8819,Oluwo Liito,"",GORONTALO,Kab. BOALEMO,"","","0.48238000000000003,122.11428444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8819
8868,Samaunu,"",GORONTALO,Kab. POHUWATO,"","","0.51367,121.61949444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8868
8820,Oyintha Liito,"",GORONTALO,Kab. BOALEMO,"","","0.48294166666666666,122.11114888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8820
8869,Sandaa,"",GORONTALO,Kab. POHUWATO,"","","0.43694444444444447,121.51833333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8869
8821,Taludahe,"",GORONTALO,Kab. BOALEMO,"","","0.48833333333333334,122.11944444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8821
8870,Sandii,"",GORONTALO,Kab. POHUWATO,"","","0.43591583333333334,121.50159527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8870
8822,Tanggulomato,"",GORONTALO,Kab. BOALEMO,"","","0.45111111111111113,122.29194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8822
8823,Tapa Da'a,"",GORONTALO,Kab. BOALEMO,"","","0.48744444444444446,122.32595666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8823
8871,Tanjungbajo,"",GORONTALO,Kab. POHUWATO,"","","0.4925,122.3494036111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8871
8824,Tapa Kiki,"",GORONTALO,Kab. BOALEMO,"","","0.4844302777777778,122.32611166666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8824
8872,Tanjungkalapa,"",GORONTALO,Kab. POHUWATO,"","","0.4986111111111111,121.52722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8872
8825,Tobelo,"",GORONTALO,Kab. BOALEMO,"","","0.4618788888888889,122.14704277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8825
8873,Tomelo,"",GORONTALO,Kab. POHUWATO,"","","0.47444444444444445,122.10722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8873
8827,Abuhu,"",GORONTALO,Kab. POHUWATO,"","","0.5151280555555555,121.55450972222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8827
8828,Banggo Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.5083333333333333,121.64694444444446",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8828
8874,Walea,"",GORONTALO,Kab. POHUWATO,"","","0.45666666666666667,121.66694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8874
8751,Batumandi,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9662333333333333,122.94741666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8751
8752,Batusungo Oluwo,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.97585,122.94361666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8752
8829,Banggo Kiki,"",GORONTALO,Kab. POHUWATO,"","","0.5083333333333333,121.64111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8829
8830,Botuduluwo,"",GORONTALO,Kab. POHUWATO,"","","0.4791666666666667,121.70138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8830
8753,Batusungo Otolu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9732333333333334,122.94741666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8753
8831,Burung Besar,"",GORONTALO,Kab. POHUWATO,"","","0.5322808333333334,121.53304972222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8831
8754,Batusungo Tuwawu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9830333333333333,122.93948333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8754
8755,Bibinanga,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.8526944444444444,122.89378111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8755
8832,Burung Kecil,"",GORONTALO,Kab. POHUWATO,"","","0.5413888888888889,121.525",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8832
8833,Dulangka,"",GORONTALO,Kab. POHUWATO,"","","0.3656047222222222,121.33799416666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8833
8756,Bogisa,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9378580555555556,122.85761416666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8756
8834,Huliahu Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.8997222222222222,122.92833333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8834
8757,Bohu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9097441666666667,122.73933027777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8757
8758,Bolas,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9249833333333333,123.0795",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8758
8835,Imamu,"",GORONTALO,Kab. POHUWATO,"","","0.5052713888888889,121.66910777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8835
8836,Karang,"",GORONTALO,Kab. POHUWATO,"","","0.4955555555555556,121.53055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8836
8759,Botubotuwo Kiki,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.8484833333333334,122.8156",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8759
