Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
4305,Menyawakan,"",JAWA TENGAH,Kab. JEPARA,"","","-5.796666666666667,110.34388888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4305
4306,Mondoliko,"",JAWA TENGAH,Kab. JEPARA,"","","-6.381944444444444,110.92083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4306
4307,Mrico,"",JAWA TENGAH,Kab. JEPARA,"","","-5.798055555555555,110.45416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4307
4308,Nyamuk,"",JAWA TENGAH,Kab. JEPARA,"",5° 48' 52.000,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4308
296,NUSAKAMBANGAN,"",JAWA TENGAH,Kab. CILACAP,CILACAP SELATAN,"","-7.725555555555555,107.13777777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/296
4309,Panjang,"",JAWA TENGAH,Kab. JEPARA,"","","-6.575,110.62888888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4309
4310,Parang,"",JAWA TENGAH,Kab. JEPARA,"","","-5.743333333333333,110.24277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4310
4311,Sambangan,"",JAWA TENGAH,Kab. JEPARA,"","","-5.844722222222222,110.58416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4311
4312,Seruni,"",JAWA TENGAH,Kab. JEPARA,"","","-5.8625,110.58222222222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4312
886,Bengkoang,"",JAWA TENGAH,Kab. JEPARA,KARIMUN JAWA,"
	050° 44’ 24’’ LS dan 110° 24’ 28’’ BT. 
","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/886
4313,Sintok,"",JAWA TENGAH,Kab. JEPARA,"","","-5.783055555555555,110.51166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4313
4314,Tengah,"",JAWA TENGAH,Kab. JEPARA,"","","-5.809444444444444,110.50722222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4314
14545,Cemara Kecil,"",JAWA TENGAH,Kab. JEPARA,"","","5.830277777777778,110.3786111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/14545
4282,Gede,"",JAWA TENGAH,Kab. REMBANG,"","","-6.652777777777779,111.29055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4282
4283,Marongan,"",JAWA TENGAH,Kab. REMBANG,"","","-6.666388888888889,111.25888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4283
4284,Sualan,"",JAWA TENGAH,Kab. REMBANG,"","","-6.6819444444444445,111.38361111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4284
4286,Batu,"",JAWA TENGAH,Kab. JEPARA,"","","-5.873333333333334,110.45444444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4286
4288,Burung,"",JAWA TENGAH,Kab. JEPARA,"","","-5.890555555555555,110.34277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4288
4289,Cemoro Besar,"",JAWA TENGAH,Kab. JEPARA,"","","-5.806388888888889,110.37388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4289
4290,Cemoro Kecil,"",JAWA TENGAH,Kab. JEPARA,"","","-5.831666666666666,110.37833333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4290
