Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
4548,Suleh,"",JAWA TIMUR,Kab. MALANG,"","","-8.407222222222222,112.84833333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4548
4676,Kaloangan,"",JAWA TIMUR,Kab. SUMENEP,"","","-6.953021666666666,115.50311",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4676
4629,Mustaka Kecil,"",JAWA TIMUR,Kab. BANYUWANGI,"","","-8.644810833333333,114.02653",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4629
4677,Kalosot,"",JAWA TIMUR,Kab. SUMENEP,"","","-7.132068055555555,114.76925305555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4677
4465,Watukapal,"",JAWA TIMUR,Kab. BLITAR,"","","-8.348643611111111,112.24227888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4465
4382,Teledek,"",JAWA TIMUR,Kab. PACITAN,"","","-8.237515555555555,110.97004638888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4382
4747,Sitabok,"",JAWA TIMUR,Kab. SUMENEP,"","","-6.965,115.70883944444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4747
4549,Sumenggung Barat,"",JAWA TIMUR,Kab. MALANG,"","","-8.4475,112.65444444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4549
4630,Mustaka,"",JAWA TIMUR,Kab. BANYUWANGI,"","","-8.647558333333333,114.02768333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4630
4678,Kamarong,"",JAWA TIMUR,Kab. SUMENEP,"","","-7.008320555555556,115.66222222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4678
4466,Watulemper,"",JAWA TIMUR,Kab. BLITAR,"","","-8.339722222222223,112.21777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4466
4748,Sitangis,"",JAWA TIMUR,Kab. SUMENEP,"","","-6.961759444444445,115.30747749999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4748
4383,Watukarung,"",JAWA TIMUR,Kab. PACITAN,"","","-8.235555555555555,110.96055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4383
4679,Kambing,"",JAWA TIMUR,Kab. SUMENEP,"","","-5.102777777777778,114.60111111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4679
4550,Sumenggung Tengah,"",JAWA TIMUR,Kab. MALANG,"","","-8.446946944444445,112.65603805555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4550
4467,Wedhiciut,"",JAWA TIMUR,Kab. BLITAR,"","","-8.3523275,112.23880527777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4467
4384,Watumurep,"",JAWA TIMUR,Kab. PACITAN,"","","-8.254670277777779,111.25503694444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4384
4631,Parangjahe,"",JAWA TIMUR,Kab. BANYUWANGI,"","","-8.619466111111112,114.11210972222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4631
4749,Socce,"",JAWA TIMUR,Kab. SUMENEP,"","","-7.128024166666666,114.58354277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4749
4680,Kamudi,"",JAWA TIMUR,Kab. SUMENEP,"","","-7.106058333333333,114.79454222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4680
4632,Parengan,"",JAWA TIMUR,Kab. BANYUWANGI,"","","-8.606388888888889,114.23194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4632
4551,Sumenggung Timur,"",JAWA TIMUR,Kab. MALANG,"","","-8.446388888888889,112.65694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4551
4468,Wedhiombo,"",JAWA TIMUR,Kab. BLITAR,"","","-8.352222222222222,112.24107055555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4468
4385,Watupayung Kecil,"",JAWA TIMUR,Kab. PACITAN,"","","-8.222232777777778,110.91723277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4385
4750,Taboklinto,"",JAWA TIMUR,Kab. SUMENEP,"","","-7.111228888888888,115.76393222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4750
4552,Sumenggung,"",JAWA TIMUR,Kab. MALANG,"","","-8.446944444444444,112.65972222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4552
4681,Kangean,"",JAWA TIMUR,Kab. SUMENEP,"","","-6.8694283333333335,115.36279666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4681
4633,Santen,"",JAWA TIMUR,Kab. BANYUWANGI,"","","-8.209999999999999,114.38472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4633
