Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
5801,Upeh,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.222777777777778,109.40305555555557",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5801
5678,Rusa Dua,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.250277777777778,110.07055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5678
5729,Gresik,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.695,109.11361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5729
5803,Benuang,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.20944444444444446,109.89305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5803
5679,Rusa Satu,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.8394444444444447,110.16944444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5679
5730,Gurun Besar,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.411111111111111,109.22111111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5730
5731,Gurun Kecil,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.412222222222222,109.22805555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5731
5804,Berembang,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6902777777777778,109.49083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5804
5680,Sanggul,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-3.0602777777777774,110.2175",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5680
5732,Hantu,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.056388888888889,109.29972222222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5732
5681,Sawi Besar,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.3758333333333335,110.065",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5681
5805,Betingtengah,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.19305555555555554,109.06972222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5805
5682,Sawi Kecil,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.3708333333333336,110.07166666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5682
5733,Juante,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.347222222222222,109.90083333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5733
5806,Bidara,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6102777777777778,109.38277777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5806
5734,Julai,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.211111111111111,109.28388888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5734
5683,Sempadi Besar,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-1.4316666666666666,110.01694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5683
5807,Buntutlimbung,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.2683333333333333,109.76638888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5807
5735,Kalap Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6480555555555556,108.81694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5735
5684,Sempadi Kecil,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-1.43617,110.02361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5684
5808,Burung Besar,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6124999999999999,109.30916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5808
5736,Kapak,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5872222222222223,108.76194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5736
5685,Sempadi Laut,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-1.426388888888889,110.00583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5685
5737,Karimata Tua,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5802777777777777,108.7936111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5737
5809,Burung Kecil,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6102777777777778,109.31166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5809
5738,Karimata,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.605,108.89694444444446",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5738
5686,Sentigi,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.1708333333333334,110.08305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5686
5810,Dabong,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.5991666666666667,109.25166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5810
5739,Katung,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.3666666666666667,109.88722222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5739
5687,Tanahmerah,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.666111111111111,110.11916666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5687
5811,Gelanggang,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.7458333333333332,109.56",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5811
5688,Tating,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.6261111111111113,110.14500000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5688
5740,Kelawar,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.301111111111111,109.1261111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5740
5812,Hanyut,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.023333333333333334,109.40583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5812
5689,Telukperiyuh,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.700555555555556,110.12777777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5689
5741,Kelawar Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.3155555555555556,109.11027777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5741
5813,Jambu,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.2325,109.94694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5813
5690,Tuntang,"",KALIMANTAN BARAT,Kab. KETAPANG,"","","-2.6702777777777778,110.11333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5690
5814,Keranji,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.20972222222222223,109.795",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5814
5692,Baru,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.6047222222222222,108.75361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5692
5742,Kepayang,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5591666666666668,108.80388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5742
5815,Kurnia,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.18666666666666665,109.12944444444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5815
5693,Batupayung,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.8028886111111112,108.84212416666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5693
5743,Kepayang Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5547222222222223,108.81055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5743
5816,Limbung,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.23111111111111113,109.815",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5816
5694,Belacan,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7472222222222221,108.79444444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5694
5744,Kera,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5552777777777778,108.8261111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5744
5817,Minyak,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.0936111111111111,109.17305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5817
5745,Korok,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2355555555555555,109.2538888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5745
5695,Kabung,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.8327777777777777,108.78416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5695
5818,Muarakubu,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.5766666666666667,109.32944444444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5818
5746,Krawang,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.7425000000000002,109.33361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5746
5696,Kera,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7066666666666667,108.87583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5696
5819,Munggu'linang,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.7341666666666666,109.65055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5819
5697,Lemukutan,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7669444444444445,108.70916666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5697
5747,Lalang,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.3105555555555557,110.02916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5747
5820,Nyamuk,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.16755666666666666,109.13854833333335",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5820
5698,Penatah Besar,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7474999999999999,108.76583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5698
5748,Layah Besar,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5202777777777776,109.34277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5748
5821,Padangtikar,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.8102777777777779,109.49305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5821
5749,Layah Kecil,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5227777777777778,109.33194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5749
5699,Penatah Kecil,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.75,108.79083333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5699
5822,Pakawal,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6672222222222222,109.50583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5822
5750,Leman,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2894444444444444,108.87944444444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5750
5700,Randayan,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7147222222222221,108.72888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5700
364,Randayan,"",KALIMANTAN BARAT,Kab. BENGKAYANG,Sungai Raya,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/364
5701,Seluas,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7572222222222222,108.79888888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5701
5751,Lemanbudi,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2727777777777778,108.87083333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5751
5823,Pelombak,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.35638888888888887,109.19166666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5823
5702,Semesak,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7088888888888888,108.86361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5702
5752,Lemanlalang,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2863888888888888,108.90111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5752
5824,Perling,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6511111111111111,109.46138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5824
5703,Tempurung,"",KALIMANTAN BARAT,Kab. BENGKAYANG,"","","0.7183333333333334,108.86166666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5703
5753,Lemanpaku,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2888888888888888,108.88055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5753
5626,Belacan,"",KALIMANTAN BARAT,Kab. SAMBAS,"","","1.1983333333333333,108.96805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5626
5825,Pulaibuntung,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.7177777777777777,109.63305555555554",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5825
5705,Aur Besar,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.228888888888889,109.29694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5705
5754,Lemansarang,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2833333333333332,108.89027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5754
5627,Bungin,"",KALIMANTAN BARAT,Kab. SAMBAS,"","","1.39,109.24333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5627
5706,Aur Kecil,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.235,109.2975",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5706
5826,Sejenuairtawar,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.6927777777777778,109.61333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5826
5755,Lemantokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2788888888888887,108.89194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5755
5707,Ayer,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.7322222222222223,109.28999999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5707
5628,Pikah,"",KALIMANTAN BARAT,Kab. SAMBAS,"","","1.2061111111111111,108.95611111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5628
5756,Lemanujung,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2827777777777778,108.90194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5756
5827,Sekancil,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.15916666666666665,109.90527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5827
5708,Bagu,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.3155555555555556,110.02222222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5708
5629,Pontianak,"",KALIMANTAN BARAT,Kab. SAMBAS,"","","1.2694444444444444,108.98305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5629
5757,Lintang,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5661111111111112,108.78194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5757
5828,Selatsih,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.895,109.36194444444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5828
5630,Selimpai,"",KALIMANTAN BARAT,Kab. SAMBAS,"","","1.8219444444444444,109.335",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5630
5709,Bakung Besar,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5927777777777778,109.19034194444446",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5709
5758,Lising Dua Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6011111111111112,109.1538888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5758
5710,Bakung Kecil,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5872222222222223,109.2038888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5710
5631,Tua,"",KALIMANTAN BARAT,Kab. SAMBAS,"","","1.7247222222222223,109.25666666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5631
5759,Lising Empat Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6061111111111113,109.15472222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5759
5829,Separoh,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.1897222222222222,109.92305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5829
5711,Batumeregung,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.1966666666666668,109.27944444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5711
5633,Babi,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.03027777777777778,109.23",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5633
5830,Sepokkeladi,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.18833333333333332,109.10749999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5830
5760,Lising Enam Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6052777777777778,109.15583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5760
5712,Begunung,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5822222222222222,108.77",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5712
5634,Baru,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.02,109.24861111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5634
5761,Lising Lima Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.605,109.1575",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5761
5831,Sepoklaut,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.22694444444444445,109.12277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5831
5713,Besi,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.656111111111111,109.045",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5713
5832,Sepokperupuk,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.13944444444444445,109.1086111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5832
5635,Bumin,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.024722222222222222,109.23805555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5635
5714,Blian,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6241666666666668,108.76277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5714
5762,Lising Satu Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6047222222222224,109.15583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5762
5636,Dato,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.12833333333333333,108.60555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5636
5833,Tanjungsaleh,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.11944444444444445,109.15583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5833
5715,Buan,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.4866666666666668,109.04805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5715
5763,Lising Tiga Tokong,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6058333333333334,109.15333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5763
5716,Bulat Dua,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5791666666666666,108.78416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5716
5637,Panjang ,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.033888888888888885,109.2088888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5637
5834,Tanjungsapi,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.3688888888888889,109.61805555555554",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5834
5717,Bulat Satu,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.2644444444444445,109.1713888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5717
5764,Lising,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6047222222222224,109.15472222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5764
5718,Buluh Besar,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5561111111111112,108.77472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5718
5638,Pendamaran,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.40694444444444444,108.78305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5638
5835,Telokair dua,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.7588888888888888,109.60166666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5835
5719,Buluh Kecil,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.5583333333333333,108.78194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5719
5765,Lutung Dua,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.4780555555555557,109.38305555555554",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5765
5720,Bunyau,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.4797222222222224,109.37888888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5720
5639,Penibung,"",KALIMANTAN BARAT,Kab. PONTIANAK,"","","0.4025,108.9375",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5639
5836,Telokair satu,"",KALIMANTAN BARAT,Kab. KUBU RAYA,"","","-0.7297222222222223,109.56416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5836
5721,Busung,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6141666666666667,108.78583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5721
5766,Lutung Satu,"",KALIMANTAN BARAT,Kab. KAYONG UTARA,"","","-1.6516666666666666,109.3325",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5766
