Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
5957,Halaban Kecil,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.5933333333333333,116.30805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5957
6028,Terusan Tengah,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-4.069722222222222,116.04694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6028
5958,Halaban,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.591666666666667,116.30694444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5958
6029,Titipan Indah,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-4.039444444444444,116.14305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6029
5959,Halangmelingkau,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.656111111111111,116.61583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5959
6030,Tiwadak,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.002222222222222,116.1261111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6030
5960,Haliling,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.0005555555555556,116.10666666666665",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5960
6031,Tokong,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.9097222222222223,116.05194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6031
5961,Haur,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-3.6708333333333334,116.38083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5961
6032,Tugu,"",KALIMANTAN SELATAN,Kab. KOTA BARU,"","","-2.6425,116.25972222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6032
