Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
5902,Tangguk,"",KALIMANTAN TENGAH,Kab. SUKAMARA,"",,"-2.7841666666666667,111.0525"
5857,Kamapit,"",KALIMANTAN TENGAH,Kab. KOTAWARINGIN TIMUR,"",,"-2.4736111111111114,113.04972222222221"
5881,Hantasanbabai,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-1.9241666666666666,114.88"
5852,Sekodor,"",KALIMANTAN TENGAH,Kab. KOTAWARINGIN BARAT,"",,"-2.8983527777777778,111.42628805555556"
5887,Tanjungjawa,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-1.5322222222222222,114.835"
5865,Besiam Kurik,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-3.1891666666666665,114.35527777777777"
5885,Selatbaru,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-2.0702994444444447,114.89143250000001"
5893,Burung,"",KALIMANTAN TENGAH,Kab. KATINGAN,"",,"-3.2308333333333334,113.32777777777777"
5899,Santilik Kurik,"",KALIMANTAN TENGAH,Kab. KATINGAN,"",,"-3.1623444444444444,113.29815527777778"
5872,Pari,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-1.7005555555555556,114.4888888888889"
5891,Batumandi,"",KALIMANTAN TENGAH,Kab. KATINGAN,"",,"-3.36,113.42055555555557"
5875,Telu,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-2.986666666666667,114.37305555555555"
5886,Tampijak,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-1.8230555555555557,114.78388888888888"
5904,Ketapang,"",KALIMANTAN TENGAH,Kab. PULANG PISAU,"",,"-2.657139722222222,114.2755711111111"
5851,Samudra,"",KALIMANTAN TENGAH,Kab. KOTAWARINGIN BARAT,"",,"-2.9074999999999998,111.41416666666667"
5883,Huluasam,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-1.6155555555555556,114.86166666666666"
5912,Kaja,"",KALIMANTAN TENGAH,KOTA PALANGKA RAYA,"",,"-1.9483333333333333,113.75805555555556"
5855,Hanibung,"",KALIMANTAN TENGAH,Kab. KOTAWARINGIN TIMUR,"",,"-2.3333333333333335,112.87583333333333"
5882,Hilirbabai,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-1.9283333333333332,114.85416666666666"
5880,Bangkuang,"",KALIMANTAN TENGAH,Kab. BARITO SELATAN,"",,"-2.0044444444444443,114.91555555555556"
5869,Lampahen,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-2.5725,114.41888888888889"
5848,Keramat,"",KALIMANTAN TENGAH,Kab. KOTAWARINGIN BARAT,"",,"-2.8877005555555555,111.43740972222223"
5907,Nusatambing,"",KALIMANTAN TENGAH,Kab. PULANG PISAU,"",,"-2.385,114.19055555555556"
5870,Lapetan,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-2.082777777777778,114.2825"
5858,Lepeh,"",KALIMANTAN TENGAH,Kab. KOTAWARINGIN TIMUR,"",,"-2.785785833333333,112.93210361111112"
5908,Palabangan,"",KALIMANTAN TENGAH,Kab. PULANG PISAU,"",,"-1.851388888888889,113.93472222222222"
5876,Telu Bentok,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-2.979444444444445,114.3775"
5892,Batutungku,"",KALIMANTAN TENGAH,Kab. KATINGAN,"",,"-3.345,113.42194444444445"
5873,Roko,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-3.2333333333333334,114.34555555555555"
5864,Berangas,"",KALIMANTAN TENGAH,Kab. KAPUAS,"",,"-3.173611111111111,114.35499999999999"
5911,Hampapak,"",KALIMANTAN TENGAH,KOTA PALANGKA RAYA,"",,"-2.084166666666667,113.83166666666666"
