Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
6181,Sibela,"",KALIMANTAN TIMUR,Kab. BERAU,"","","2.2650558333333333,118.59707722222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6181
6106,Patin,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.57,117.38",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6106
6410,Sepunti,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.6116544444444445,117.0499311111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6410
6330,Kualan,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.03805388888888889,115.55724166666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6330
6253,Pengean,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","2.6900000000000004,117.79166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6253
6182,Sibilambay,"",KALIMANTAN TIMUR,Kab. BERAU,"","","2.279722222222222,118.6",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6182
6331,Laham,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.35009694444444445,115.39968722222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6331
6107,Pegah,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.7796063888888889,117.28874027777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6107
6411,Sesayap,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.6200852777777777,117.09974416666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6411
6183,Siddau,"",KALIMANTAN TIMUR,Kab. BERAU,"","","2.2583333333333333,118.59436527777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6183
6254,Penyepuan,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","2.9752625,117.44351",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6254
6108,Penti,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.78,117.44",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6108
6184,Sigending Besar,"",KALIMANTAN TIMUR,Kab. BERAU,"","","1.1444444444444444,118.78",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6184
6332,Liuqkarau,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.27555555555555555,115.40416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6332
6412,Sida,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.74,117.74",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6412
6109,Perangatan Besar,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.8400000000000001,117.35",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6109
6255,Pesalang,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","3.0900469444444445,117.52995305555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6255
6413,Singa,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.556424444444444,117.40913027777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6413
6333,Melaham,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.45680444444444446,115.28487083333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6333
6110,Perangatan Kecil,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.89,117.33999999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6110
6185,Sigending Kecil,"",KALIMANTAN TIMUR,Kab. BERAU,"","","1.1302777777777777,118.79083333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6185
6256,Putus,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","2.808926111111111,117.38333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6256
6414,Tanjungtiram ,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.4400000000000004,117.26",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6414
6334,Merah,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.3827361111111111,115.42732333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6334
6111,Perangatan,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.6344444444444444,117.54722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6111
6186,Sodang Besar,"",KALIMANTAN TIMUR,Kab. BERAU,"","","2.1344444444444446,117.75916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6186
6112,Pusa,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.7498119444444444,117.51006277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6112
6415,Tembalang,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.639778888888889,116.9648325",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6415
6257,Sabanar,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","2.8615444444444447,117.49249472222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6257
6335,Panalukang,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.42333333333333334,115.4025",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6335
6258,Salenketo Kecil,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","2.9084558333333335,117.52959222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6258
6187,Solok,"",KALIMANTAN TIMUR,Kab. BERAU,"","","2.154722222222222,117.24333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6187
6113,Rambairangas,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.77,117.35",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6113
6416,Tembangan,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.6,117.53",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6416
6336,Sebenah,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.47305555555555556,115.27055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6336
6188,Talisapan,"",KALIMANTAN TIMUR,Kab. BERAU,"","","1.136111111111111,118.77638888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6188
6114,Seleteh Kecil,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.5100627777777778,117.50006277777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6114
6417,Tempudus,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.634823888888889,116.90664777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6417
6259,Salenketo,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","2.906323611111111,117.48853805555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6259
6337,Tiga,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.5349269444444444,115.19662222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6337
6189,Tangkapaan,"",KALIMANTAN TIMUR,Kab. BERAU,"","","1.3719444444444444,118.5586111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6189
6260,Sarilaki Lumot,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","3.2392688888888888,117.2646788888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6260
6418,Tiram,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.4667380555555556,117.28582666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6418
6338,Ujohbilang,"",KALIMANTAN TIMUR,Kab. KUTAI BARAT,"","","0.5133333333333333,115.24722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6338
6115,Seleteh,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.5164852777777778,117.500375",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6115
6190,Tanjungbuayabuaya,"",KALIMANTAN TIMUR,Kab. BERAU,"","","1.402222222222222,118.49472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6190
298,MARATUA,"",KALIMANTAN TIMUR,Kab. BERAU,MARATUA,"","2.190833333333333,117.39277777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/298
6419,TN 1,"",KALIMANTAN TIMUR,Kab. TANA TIDUNG,"","","3.578946944444444,117.32136444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6419
6261,Sarilaki,"",KALIMANTAN TIMUR,Kab. BULUNGAN,"","","3.2432166666666666,117.25212027777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6261
6116,Sungaikelambu,"",KALIMANTAN TIMUR,Kab. KUTAI KARTANEGARA,"","","-0.6560627777777778,117.361425",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6116
