Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
762,Pulibulu,Tembalang,KALIMANTAN UTARA,Kab. NUNUKAN,Nunukan,"","4.045277777777778,117.48111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/762
763,Sekapal,"",KALIMANTAN UTARA,Kab. NUNUKAN,Seimenggaris,"","4.148055555555556,117.53555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/763
765,Sinelak,"",KALIMANTAN UTARA,Kab. NUNUKAN,Nunukan,"","4.0586111111111105,117.48444444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/765
297,SEBATIK,"",KALIMANTAN UTARA,Kab. NUNUKAN,5 Kecamatan,"","4.143055555555556,116.21277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/297
775,Sinualan,"",KALIMANTAN UTARA,Kab. NUNUKAN,Nunukan,"","4.020833333333333,117.4563888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/775
777,Tinabasan,"",KALIMANTAN UTARA,Kab. NUNUKAN,Seimenggaris,"","4.122777777777777,117.56222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/777
410,GOSONG MAKASAR,"",KALIMANTAN UTARA,Kab. NUNUKAN,SEBATIK,"","4.010555555555555,117.91722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/410
6307,Apastual,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","3.898843888888889,117.60494666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6307
6308,Aus,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","3.8211111111111107,117.77222222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6308
6309,Bukat,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","3.8991666666666664,117.64277777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6309
6310,Itai,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","3.9472222222222224,117.56527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6310
6311,Nunukan,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.063787777777778,117.66485527777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6311
6312,Pampang,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","3.9594444444444448,117.46694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6312
6313,Pelanduk,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.079444444444444,117.48194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6313
746,Aus,"",KALIMANTAN UTARA,Kab. NUNUKAN,Nunukan,"","3.8211111111111107,117.77222222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/746
6314,Pulibulu,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.045277777777778,117.48111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6314
6316,Sekapal,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.148116666666667,117.53576611111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6316
6317,Sinelak,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.058621666666666,117.48442777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6317
6318,Sinualan,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.020833333333333,117.4563888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6318
751,Bukat,"",KALIMANTAN UTARA,Kab. NUNUKAN,Nunukan,"","3.8991666666666664,117.64277777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/751
6319,Tidongsalong Lumot,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.046036111111111,117.45794500000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6319
6320,Tidongsalong,"",KALIMANTAN UTARA,Kab. NUNUKAN,"","","4.045833333333333,117.45944444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6320
755,Pelanduk,"",KALIMANTAN UTARA,Kab. NUNUKAN,Nunukan,"","4.079444444444444,117.48194444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/755
