Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
1908,Batutrumbu,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-2.233586388888889,105.74626694444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1908
1984,Kelebong,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG,"","","-2.9619383333333333,107.53401222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1984
2130,Asau,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.5394444444444444,105.54472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2130
2288,Karangkera Timur,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-2.578611111111111,108.61527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2288
2056,Batukodok,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA SELATAN,"","","-3.0094444444444446,106.44250000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2056
2208,Pebirik,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.7337980555555557,105.69837138888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2208
2131,Bangau,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.551388888888889,105.60388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2131
1985,Kelemuak,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG,"","","-2.74601,107.61027777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1985
1909,Batuular,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-1.5241666666666667,105.7325",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1909
2289,Karangkera Utara,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-2.569444444444444,108.59861111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2289
2057,Batuperahu,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA SELATAN,"","","-3.0069444444444446,106.44250000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2057
1986,Kembong,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG,"","","-2.86021,107.3399",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1986
2132,Batuakek,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.5688888888888888,105.45111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2132
2209,Penaga,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.6669030555555555,105.344535",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2209
1910,Danto,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-1.7383333333333333,105.76666666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1910
2290,Karanglampu,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-3.303888888888889,108.46083333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2290
1987,Kera,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG,"","","-2.78942,107.42797",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1987
1911,Hakok,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-1.8041666666666667,106.13027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1911
2291,Karanglesong,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-3.183611111111111,107.88",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2291
2210,Perut,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.5691983333333333,105.44553527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2210
2133,Batualoy,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.5374999999999999,105.5625",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2133
2058,Baturusa,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA SELATAN,"","","-2.562222222222222,105.91222222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2058
2211,Punai,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.5644444444444445,105.45416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2211
1912,Hantu,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-2.2358333333333333,105.75444444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1912
1988,Kerak,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG,"","","-2.5893383333333335,107.62417166666665",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1988
2292,Karangmandi,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-2.7425,108.26166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2292
2134,Batuamoy,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.6375,105.70333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2134
2059,Batusairin,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA SELATAN,"","","-3.006666666666667,106.44305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2059
2212,Putri,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.7037391666666666,105.71065055555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2212
1913,Karangpanjang,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-1.972777777777778,106.16305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1913
2293,Karangpahat,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-2.562777777777778,108.6675",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2293
1989,Kerdendang,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG,"","","-3.1574999999999998,107.83722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1989
2060,Batuspit,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA SELATAN,"","","-2.5569444444444445,105.91333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2060
2135,Batuampar,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.596388888888889,105.43166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2135
1914,Kayuanak,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA,"","","-1.8005555555555557,105.81138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1914
2213,Saman,"",KEPULAUAN BANGKA BELITUNG,Kab. BANGKA BARAT,"","","-1.5969444444444445,105.42416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2213
2294,Karangpering,"",KEPULAUAN BANGKA BELITUNG,Kab. BELITUNG TIMUR,"","","-2.677222222222222,108.16833333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2294
