Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
150,Burung,"",KEPULAUAN RIAU,Kab. BINTAN,"","","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/150
2639,Bukitdua,"",KEPULAUAN RIAU,Kab. KARIMUN,"","","0.5888888888888889,103.64166666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2639
3249,Logoh,"",KEPULAUAN RIAU,Kab. LINGGA,"","","0.00445,104.54423",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3249
3571,Dengkol,"",KEPULAUAN RIAU,Kab. KEPULAUAN ANAMBAS,"","","3.0508333333333333,105.95222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3571
3837,Burut,"",KEPULAUAN RIAU,KOTA B A T A M,"","","0.9203874999999999,104.03265944444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3837
2786,Sanglar Kecil,"",KEPULAUAN RIAU,Kab. KARIMUN,"","","0.6080555555555556,103.71083333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2786
3489,Tempak,"",KEPULAUAN RIAU,Kab. LINGGA,"","","0.10752,104.53748",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3489
3018,Anakburung Maruktua,"",KEPULAUAN RIAU,Kab. LINGGA,"","","-0.5850000000000001,104.32200999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3018
4061,Sekila,"",KEPULAUAN RIAU,KOTA B A T A M,"","","0.9936111111111111,104.14305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4061
2365,Alanghutan,"",KEPULAUAN RIAU,Kab. BINTAN,"","","0.7858333333333333,104.51777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2365
3327,Nia,"",KEPULAUAN RIAU,Kab. LINGGA,"","","0.31501999999999997,104.44045",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3327
3170,Gamai,"",KEPULAUAN RIAU,Kab. LINGGA,"","","0.16221,104.46805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3170
3986,Padi,"",KEPULAUAN RIAU,KOTA B A T A M,"","","1.0772222222222223,103.88055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3986
3910,Kuyung,"",KEPULAUAN RIAU,KOTA B A T A M,"","","0.9888888888888888,103.97888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/3910
2862,Batugedung,"",KEPULAUAN RIAU,Kab. NATUNA,"","","3.5833891666666666,108.08679",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2862
293,KARIMUNANAK,KARIMUN KECIL,KEPULAUAN RIAU,Kab. KARIMUN,TEBING,"","1.1444444444444444,102.60472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/293
151,Burus,"",KEPULAUAN RIAU,Kab. BINTAN,"","","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/151
222,Malangpempan,"",KEPULAUAN RIAU,Kab. BINTAN,"","","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/222
2522,Penyemuk,"",KEPULAUAN RIAU,Kab. BINTAN,"","","0.5146291666666667,107.14941416666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/2522
