Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
876,Batugubugseng,"",LAMPUNG,Kab. LAMPUNG SELATAN,RAJABASA,"","-5.958333333333334,105.46388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/876
442,BERTUAH,BATU KECIL,LAMPUNG,Kab. LAMPUNG BARAT,Way Krui ,"","-5.892222222222221,103.55722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/442
1757,Condong Darat,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.55431,105.35",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1757
1832,Kiluan,"",LAMPUNG,Kab. TANGGAMUS,"","","-5.781944444444444,105.09305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1832
877,Batukauseng,"",LAMPUNG,Kab. LAMPUNG SELATAN,RAJABASA,"","-5.9638888888888895,105.46722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/877
1833,Lamang,"",LAMPUNG,Kab. TANGGAMUS,"","","-5.7058333333333335,104.96678138888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1833
1758,Condong Laut,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.56062,105.34295999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1758
878,Batukerbau,"",LAMPUNG,Kab. PESAWARAN,"","","-5.844166666666666,105.31027777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/878
1759,Dua Balak,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.872155833333334,105.77005527777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1759
1834,Lengkekuh,"",LAMPUNG,Kab. TANGGAMUS,"","","-5.709444444444444,104.96277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1834
880,Batulegundi Balak,"",LAMPUNG,Kab. PESAWARAN,"","","-5.838055555555555,105.2863888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/880
