Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
10184,Akerica Kecil,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.3056611111111111,127.26458527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10184
10337,Kubi,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-1.1297222222222223,128.39388888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10337
10732,Sibu,"",MALUKU UTARA,KOTA TIDORE KEPULAUAN,"","","0.772651388888889,127.59590027777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10732
10111,Funaililiar,"",MALUKU UTARA,Kab. HALMAHERA UTARA,"","","2.113888888888889,127.76583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10111
10653,England,"",MALUKU UTARA,Kab. HALMAHERA TIMUR,"","","0.5686111111111111,128.65305555555557",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10653
9963,Garatomali,"",MALUKU UTARA,Kab. HALMAHERA BARAT,"","","1.9480555555555557,127.71722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9963
10037,Tamo,"",MALUKU UTARA,Kab. HALMAHERA BARAT,"","","1.6594444444444443,127.53944444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10037
10575,Kayudabun Gaya,"",MALUKU UTARA,Kab. KEPULAUAN SULA,"","","-1.7402777777777778,124.3586111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10575
10185,Ambatin,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.5872222222222223,127.16888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10185
10491,Tambeluk,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.5058333333333334,127.28416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10491
10112,Gaheru,"",MALUKU UTARA,Kab. HALMAHERA UTARA,"","","2.122777777777778,127.78527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10112
10338,Kuburan ,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.6327777777777778,128.5675",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10338
10415,Obilatu,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-1.412222222222222,127.33999999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10415
10654,Gee,"",MALUKU UTARA,Kab. HALMAHERA TIMUR,"","","0.8330555555555555,128.32555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10654
10262,Farabeha,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.9813888888888889,128.3725",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10262
10733,Tamen,"",MALUKU UTARA,KOTA TIDORE KEPULAUAN,"","","0.38170194444444444,127.59310833333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10733
9964,Gereba,"",MALUKU UTARA,Kab. HALMAHERA BARAT,"","","1.6436111111111111,127.5411111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9964
10038,Tamodo,"",MALUKU UTARA,Kab. HALMAHERA BARAT,"","","1.8393161111111112,127.644395",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10038
10186,Ambatu,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.6497222222222222,127.27805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10186
10492,Tameti,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.10777777777777778,127.24416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10492
10339,Kuburan Barat,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.6308333333333334,128.5625",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10339
10576,Kayudabung Bata'a,"",MALUKU UTARA,Kab. KEPULAUAN SULA,"","","-1.7405555555555556,124.3536111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10576
10113,Garande,"",MALUKU UTARA,Kab. HALMAHERA UTARA,"","","2.102018611111111,127.77482666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10113
10734,Tawang,"",MALUKU UTARA,KOTA TIDORE KEPULAUAN,"","","0.35527055555555553,127.64173277777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10734
10655,Gifow,"",MALUKU UTARA,Kab. HALMAHERA TIMUR,"","","0.7891283333333333,128.3198852777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10655
10263,Fitfodang,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.5705555555555556,128.4188888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10263
10416,Obimayor,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-1.5338888888888889,127.77916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10416
10340,Kuburan Timur,"",MALUKU UTARA,Kab. HALMAHERA SELATAN,"","","-0.6358333333333333,128.5711111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10340
