Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
9077,Vatleu Badmar,"",MALUKU,Kab. MALUKU TENGGARA,"","","-5.659722222222222,132.28944444444446",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9077
8933,Batukapal,"",MALUKU,Kab. MALUKU TENGAH,"","","-3.633611111111111,128.4013888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8933
9230,Marwatu,"",MALUKU,Kab. SERAM BAGIAN TIMUR,"","","-3.8736111111111113,130.82472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9230
9888,Warmamang,"",MALUKU,Kab. MALUKU BARAT DAYA,"","","-8.194430277777778,128.7189888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9888
9155,Ngolin,"",MALUKU,Kab. MALUKU TENGGARA BARAT,"","","-7.753888888888889,130.9488888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9155
9613,Loulia,"",MALUKU,Kab. KEPULAUAN ARU,"","","-6.521944444444444,134.21916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9613
9450,Gwariafungfungan Kaf,"",MALUKU,Kab. KEPULAUAN ARU,"","","-6.0008333333333335,134.86625999999998",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9450
9846,Dai,"",MALUKU,Kab. MALUKU BARAT DAYA,"","","-7.558888888888888,129.68916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9846
9690,Panasa,"",MALUKU,Kab. KEPULAUAN ARU,"","","-6.534166666666667,134.7688888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9690
9005,Kumer,"",MALUKU,Kab. MALUKU TENGGARA,"","","-5.171111111111111,132.01777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9005
9304,Anaktujuh Tengah,"",MALUKU,Kab. KEPULAUAN ARU,"","","-5.585277777777778,134.63",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9304
9078,Vatleu Taranan,"",MALUKU,Kab. MALUKU TENGGARA,"","","-5.662777777777778,132.2888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9078
9768,Takuiwahia,"",MALUKU,Kab. KEPULAUAN ARU,"","","-5.5216,134.70951",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9768
9532,Keraun Barat,"",MALUKU,Kab. KEPULAUAN ARU,"","","-6.016666666666667,134.86193",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9532
9156,Ngurwuli,"",MALUKU,Kab. MALUKU TENGGARA BARAT,"","","-7.505277777777778,130.93166666666664",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9156
9889,Wetang,"",MALUKU,Kab. MALUKU BARAT DAYA,"","","-7.907500000000001,129.54083333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9889
9847,Damer,"",MALUKU,Kab. MALUKU BARAT DAYA,"","","-7.135000000000001,128.61388888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9847
9451,Gwariafungfungan Lat,"",MALUKU,Kab. KEPULAUAN ARU,"","","-5.99969,134.86722222222224",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/9451
