Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
5518,Messah,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.527777777777779,119.7461111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5518
5360,Batulilok,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.919444444444444,123.03055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5360
5277,Ontoloe,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.381666666666668,121.005",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5277
5200,Buaya,"",NUSA TENGGARA TIMUR,Kab. ALOR,"",8° 10' 38.000,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5200
5438,Pua Nusa,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.538055555555555,123.37222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5438
5597,Pasirita,"",NUSA TENGGARA TIMUR,Kab. NAGEKEO,"","","-8.439166666666667,121.29972222222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5597
5519,Mole,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.590555555555556,119.72694444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5519
5278,Ontoloesua,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.364722222222222,121.00472222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5278
5439,Senamu,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.859325555555555,123.02655277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5439
5520,Monyet,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.495555555555555,119.86861111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5520
5361,Batulole,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.940584444444445,122.95570000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5361
5598,Watundoa,"",NUSA TENGGARA TIMUR,Kab. NAGEKEO,"","","-8.464722222222221,121.26777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5598
