Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
11289,Taris,"",PAPUA BARAT,Kab. FAKFAK,"","","-2.643131111111111,132.51603694444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11289
12306,Loca Lim,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-1.985103888888889,130.54237305555554",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12306
12607,Nyamat Yef,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.14226944444444445,130.65578444444446",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12607
13851,Swar Semus,"",PAPUA BARAT,Kab. KAIMANA,"","","-3.9007544444444444,134.10985694444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13851
12840,Semangka Peley Yef,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","0.17324666666666666,130.03921444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12840
12011,Kapal Yef,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","0.17330722222222222,130.01090416666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12011
12379,Manikaipopo Fit,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-1.960231388888889,130.44856222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12379
10999,Fakarnusabuan Utara,"",PAPUA BARAT,Kab. FAKFAK,"","","-2.6343586111111112,132.45674749999998",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10999
11216,Safuni,"",PAPUA BARAT,Kab. FAKFAK,"","","-2.655088888888889,132.54277055555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11216
11512,Batuyewen,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.49146222222222224,130.3313886111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11512
12684,Pelsio Ganan,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.3137122222222222,130.62212833333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12684
11364,Abupal Sawi,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.2136288888888889,130.2852611111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11364
12159,Kitmontau,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","0.17586694444444442,130.05590833333335",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12159
11143,Neksumar,"",PAPUA BARAT,Kab. FAKFAK,"","","-2.6188844444444443,132.43363222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11143
11937,Kainok,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.7877047222222222,130.78250916666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11937
12918,Tabi Yef,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","0.10417694444444445,130.22225",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12918
13970,Nana,"",PAPUA BARAT,Kab. SORONG,"","","-0.9082913888888889,131.23135722222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13970
13538,Embesis Semus,"",PAPUA BARAT,Kab. KAIMANA,"","","-3.8655230555555558,134.1315475",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13538
12231,Lase Fit,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-2.0532033333333333,130.579655",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12231
10926,Batukitikiti Utara,"",PAPUA BARAT,Kab. FAKFAK,"","","-3.890151388888889,132.82199111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10926
12529,Mustengge Les,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-2.1305883333333333,130.89396638888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/12529
10811,Opuyef,"",PAPUA BARAT,Kab. SORONG,"","","-1.1768244444444445,131.18812",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10811
13170,Yari,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.7363008333333333,130.1414911111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13170
11070,Keraf Selatan,"",PAPUA BARAT,Kab. FAKFAK,"","","-3.300271111111111,132.79780222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11070
