Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
13981,Habe,"",PAPUA,Kab. MERAUKE,"",,"-8.242222222222221,139.44222222222223"
14094,Fiawow Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9046555555555555,136.35365638888888"
14252,Kapar Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.01,134.975"
14117,Kayari Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6598152777777777,135.46840583333332"
14055,Adiataf Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9016666666666666,136.3413888888889"
14004,Pane,"",PAPUA,Kab. JAYAPURA,"",,"-2.351388888888889,140.15861111111113"
14261,Kodon Suru Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2408333333333335,136.29472222222222"
14031,Kunure,"",PAPUA,Kab. NABIRE,"",,"-3.0962891666666668,135.60589305555555"
14452,Krei,"",PAPUA,Kab. SUPIORI,"",,"-0.8316666666666667,135.50472222222223"
14008,Yo Kepou,"",PAPUA,Kab. JAYAPURA,"",,"-2.437777777777778,140.35166666666666"
14025,Hinabua,"",PAPUA,Kab. NABIRE,"",,"-2.913611111111111,134.82777777777778"
14326,Anjing,"",PAPUA,Kab. MIMIKA,"",,"-4.912519722222223,136.88202083333334"
14003,Pane Ujung,"",PAPUA,Kab. JAYAPURA,"",,"-2.3497222222222223,140.15583333333333"
14329,Puriri,"",PAPUA,Kab. MIMIKA,"",,"-4.911652222222223,136.8198561111111"
14067,Apanderap,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6911111111111112,135.59055555555557"
14300,Risenwamurem Suru,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2308333333333334,136.2938888888889"
14062,Aiwapi Kecil,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4811111111111113,135.01638888888888"
14446,Kondi Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.8275,135.49527777777777"
13994,Kariye Kecil Kepou,"",PAPUA,Kab. JAYAPURA,"",,"-2.401388888888889,140.25416666666666"
13999,Ounangko,"",PAPUA,Kab. JAYAPURA,"",,"-2.435277777777778,140.35194444444443"
14335,Kosong,"",PAPUA,Kab. SARMI,"",,"-1.6430555555555555,138.7752777777778"
14111,Karoupi Besar,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4802777777777778,135.01833333333335"
14248,Jouwindi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1649474999999998,136.61667194444445"
14088,Diataf Kecil Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.921111111111111,136.36805555555557"
14271,Mioskapar Oser,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.217583888888889,136.32805555555555"
14465,Manis,"",PAPUA,Kab. SUPIORI,"",,"-0.8366666666666667,135.50166666666667"
14478,Mgafaki,"",PAPUA,Kab. SUPIORI,"",,"-0.8177777777777777,135.49055555555555"
14448,Kopafudi,"",PAPUA,Kab. SUPIORI,"",,"-0.7761619444444445,135.47906111111112"
14377,Bebur Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.7601544444444445,135.4709611111111"
14250,Kapaf Oser Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2874999999999999,136.3138888888889"
14459,Mandun Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.6419444444444444,135.44472222222223"
14131,Mangkahani,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4711111111111113,135.01194444444445"
14207,Abummansaman,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0396744444444446,134.94500888888888"
14393,Bum Beba,"",PAPUA,Kab. SUPIORI,"",,"-0.7583061111111111,135.46930833333334"
14232,Bumsi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0099866666666666,134.79383583333333"
14155,Remoi Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4736111111111112,135.00972222222222"
14092,Farai Kecil Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9083155555555555,136.33909333333335"
14288,Pai,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2137452777777777,136.44117083333333"
14201,Abumbawe Kasun,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0231252777777777,134.94581"
14046,Roriegi,"",PAPUA,Kab. NABIRE,"",,"-2.879166666666667,134.82416666666666"
14056,Afurandof,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8905019444444444,136.33296555555555"
14227,Besifer Suru,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2494444444444446,136.3175"
14132,Mani Barat Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.706388888888889,135.66972222222222"
14533,Fun Ujung,"",PAPUA,KOTA JAYAPURA ,"",,"-2.618888888888889,140.76694444444445"
14321,Yeri,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.155268611111111,136.62383916666667"
14033,Madiana,"",PAPUA,Kab. NABIRE,"",,"-2.886111111111111,134.85333333333332"
