Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
1675,Labubilik  Pulau,"",RIAU,Kab. ROKAN HILIR,"","","0.8677777777777778,100.55472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1675
1593,Jerjak,"",RIAU,Kab. INDRAGIRI HILIR,"","","-0.7163888888888889,103.41638888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1593
1676,Pedamaran,"",RIAU,Kab. ROKAN HILIR,"","","0.045907222222222224,100.84343916666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1676
1634,Padipadi Kocik,"",RIAU,Kab. PELALAWAN,"","","0.24083333333333334,102.5038888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1634
1604,Nyiur,"",RIAU,Kab. INDRAGIRI HILIR,"","","0.5013888888888889,103.33111111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1604
1592,Concong,"",RIAU,Kab. INDRAGIRI HILIR,"","","0.23583333333333334,103.55083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1592
1677,Sarangelang Kecik,"",RIAU,Kab. ROKAN HILIR,"","","0.8739722222222223,100.55194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1677
1598,Kundur,"",RIAU,Kab. INDRAGIRI HILIR,"","","-0.10524611111111112,103.49521555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1598
1591,Cawan,"",RIAU,Kab. INDRAGIRI HILIR,"","","-0.09954944444444444,103.54906861111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1591
1590,Busung,"",RIAU,Kab. INDRAGIRI HILIR,"","","-0.11907333333333334,103.59449749999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1590
1678,Sarangelang,"",RIAU,Kab. ROKAN HILIR,"","","0.8713888888888889,100.55305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1678
1679,Sinaboi,"",RIAU,Kab. ROKAN HILIR,"","","0.30333333333333334,101.01083333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1679
