Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8895,Saboyang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.3594444444444447,117.32722222222222"
8905,Tiporbakengkeng,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.471993888888889,119.12265222222221"
8914,Tangnga,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",3° 28' 15.000
388,Karampuang,"",SULAWESI BARAT,Kab. MAMUJU,Mamuju,""
8889,Lamudaan Marinni,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4462497222222224,117.49333333333334"
8884,Kambunong,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-1.9405555555555556,119.32916666666667"
8897,Samataha,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4518480555555557,117.32388444444445"
8906,Topesse,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-1.9343202777777777,119.33119805555555"
8910,Karemasang,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",3° 28' 21.487
8882,Kamarian Kayyang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.361225277777778,117.2780936111111"
8912,Panampeang,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",,"-3.487161388888889,119.35769638888888"
8896,Salissingang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.315149722222222,117.23063972222222"
8900,Sumanga Marinni,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4219444444444442,117.41027777777778"
8913,Pasir Putih,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",,"-3.4897758333333333,119.3887313888889"
8898,Seloang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4518861111111114,117.65417194444446"
8881,Gusunduian,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.2396511111111113,117.13919833333334"
8880,Buraolei,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.3427658333333334,117.08177472222222"
8892,Malamber,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.444201388888889,117.55124388888889"
8903,Tappilagaan,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.2769894444444443,117.66157666666668"
8899,Sumanga Kayyang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4339119444444446,117.39930555555556"
8901,Taimanu Kasengkaang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.464894166666667,119.12579666666666"
8877,Batumeanaq Bakengkeng,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4713444444444446,119.11808611111111"
8894,Sabakkatang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.2219444444444445,117.41083333333334"
8876,Batukapal,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-1.9343383333333333,119.32700055555556"
8879,Buraidi,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.2644344444444444,117.06229472222222"
8885,Karampuang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.633888888888889,118.8875"
8908,Battoa,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",3028
8917,Taimanuá,"",SULAWESI BARAT,Kab. MAJENE,"",,"-3.31159,118.8480786111111"
8886,Labia,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.422775833333333,117.5934486111111"
8893,Popoongan,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4599063888888892,117.37609277777777"
8875,Ambo,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.5388888888888888,0.9438888888888889"
8915,Tarusan,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",,"-3.4598311111111113,119.38004694444444"
8888,Lamudaan Kayyang,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4467897222222224,117.4833825"
8887,Lalungan,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4924683333333335,117.36424388888888"
8878,Batumeanaq Kambunong,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-1.9436580555555556,119.321"
8909,Deadea,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",3° 28' 2.253
8883,Kamarian Marinni,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.347617777777778,117.27282361111111"
8904,Tasambela,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.2888338888888886,117.68855861111112"
8902,Tanasi,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4651263888888892,119.14514333333334"
8890,Lumulumu,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.941015,117.55695805555555"
8911,Landea,"",SULAWESI BARAT,Kab. POLEWALI MANDAR,"",,"-3.468888888888889,119.37833333333333"
8891,Malamber Marinni,"",SULAWESI BARAT,Kab. MAMUJU,"",,"-2.4508333333333336,117.545"
387,Bakengkeng,"",SULAWESI BARAT,Kab. MAMUJU,Kalukku,""
