Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
7893,Batu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.27,120.8",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7893
8189,Caria Lampe,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.676111111111111,121.05583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8189
8115,Podangpodang Lompo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.886666666666666,119.34027777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8115
7965,Koncularuka,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.278611111111111,121.73027777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7965
8041,Kambuno,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.097222222222222,120.42027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8041
7894,Batuampangan,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.204444444444444,120.40583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7894
8116,Polewali,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.844722222222222,119.40361111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8116
8190,Caria,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.678753055555555,121.05187194444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8190
8042,Kanalodua,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.040423611111111,120.39249611111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8042
7966,Kukusang,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.656944444444445,120.42750000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7966
8191,Kalasipo,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.700249166666667,121.04873972222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8191
7895,Batuappa' Bara',"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.468066944444445,120.42777444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7895
8117,Reangreang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.7325,119.43166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8117
8192,Langkara,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.668893611111111,120.97721472222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8192
8043,Kanalosatu,"",SULAWESI SELATAN,Kab. SINJAI,"",5° 2' 35.712,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8043
7896,Batuappa' Pantarang,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.467717222222222,120.42646888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7896
7967,Lantigiang,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.70437,120.97669222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7967
8118,Sabalana,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.852732777777778,119.1090061111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8118
7897,Batuappa' Tangnga,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.468206944444445,120.42964194444446",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7897
8193,Lanipanipa,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.668611111111111,121.04416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8193
8119,Sabangko,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"",4° 42' 22.000,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8119
7968,Latondu Bakka',"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.501111111111111,120.99333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7968
8044,Katindoang,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.068054166666666,120.399895",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8044
8194,Loeha,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.7738888888888886,121.55222222222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8194
7969,Latondu Ki'di',"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.515813611111111,120.95260972222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7969
7898,Batuappa' Timoro,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.4686111111111115,120.43027777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7898
8195,Mori,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.662581388888889,121.02669305555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8195
8045,Kodingare,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.068069166666667,120.42467722222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8045
8121,Sabaru,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.576364166666666,118.83464722222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8121
8196,Onrongalang,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.638611111111111,121.0163511111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8196
7970,Madu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.4864291666666665,121.76796583333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7970
8046,Lapoipoi,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.0625,120.4",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8046
7899,Batubissa,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.2509886111111115,120.44359888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7899
8123,Sadapur,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.758333333333334,117.2025",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8123
8198,Barrang Caddi,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.0811866666666665,119.32065916666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8198
7971,Malimbu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.32396,120.45111277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7971
