Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
7498,Delapan Lima,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.27982083333333335,122.31765805555555"
6792,Katupa Besar,"",SULAWESI TENGAH,Kab. DONGGALA,"","","-0.059722222222222225,119.79833333333333"
6753,Dondolang,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.4230555555555556,122.63388888888889"
7630,Lajanggi Besar,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.25527777777777777,122.17166666666667"
6939,Karantu,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.0663888888888886,122.37388888888889"
7493,Dambila,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4254988888888889,122.0643011111111"
7503,Dolangonpongko,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.21555555555555556,122.21388888888889"
7812,Tangkejeng,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.2625,122.15194444444445"
7167,Kokudang,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9194444444444443,123.67555555555556"
7412,Angkele,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4336111111111111,121.79722222222222"
6811,Sayanggi,"",SULAWESI TENGAH,Kab. DONGGALA,"","","0.7480555555555555,120.07916666666667"
6874,Lesman,"",SULAWESI TENGAH,Kab. BUOL,"","","1.0505555555555557,121.96138888888889"
7745,Pendu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.44222222222222224,122.1036111111111"
6949,Kulangkulang,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.9355555555555555,121.37222222222222"
6837,Lutungan,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"",1° 2' 43.000,""
7148,Karatte Togong,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.8955555555555554,123.69277777777778"
7457,Bida,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.43638083333333333,122.0777211111111"
7449,Batusampu'u,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.36166666666666664,121.84305555555555"
7140,Ganemo,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-2.0641666666666665,123.27472222222222"
7255,Pasirputih Lua Togong,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.5938888888888891,123.59694444444445"
7497,Delapan Enam,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.283215,122.31561472222222"
7350,Tokubet,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.7244444444444447,123.5475"
7611,Kovelan,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4685516666666667,121.7158575"
6964,Lemo,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.0369444444444444,122.37277777777777"
7565,Kallo,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.40750000000000003,121.8275"
7094,Batumomutung,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.28,123.19861111111112"
7335,Tiga,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.5663888888888888,123.46888888888888"
7207,Lono Pauno,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9558333333333333,123.72361111111111"
7344,TN1,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.7397222222222224,123.35555555555555"
7185,Leelang,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-2.1308333333333334,123.63777777777779"
7311,Taduno Tatandak,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9538702777777777,123.71254222222223"
6875,Panikipaleleh,"",SULAWESI TENGAH,Kab. BUOL,"","","1.0677777777777777,121.97944444444444"
7656,Mangkudu Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4188888888888889,121.75611111111111"
7024,Sibadu,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.2733333333333334,122.3963888888889"
7794,Sumpala,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4152777777777778,121.82777777777777"
413,DOLANGAN,"",SULAWESI TENGAH,Kab. TOLI-TOLI,TOLI-TOLI UTARA,"","1.3661111111111113,-119.11305555555555"
6832,Koko,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.9677777777777777,120.24361111111111"
7588,Kayome Sepuluh,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.41583333333333333,121.76861111111111"
7241,Ngguluhan Batu,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4858333333333333,122.77444444444444"
7430,Bangkawang Kecil,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47467583333333335,121.69361111111111"
6932,Jawijawi,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.0574999999999997,122.4"
7377,Tuula,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.5252777777777777,122.7825"
7310,Taduno Tanga,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.951111111111111,123.71277777777777"
