Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8346,Mataradu,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.909583333333334,122.7605"
8258,Bungintaburi,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9286111111111115,122.27444444444444"
8600,Pusua Nubeka,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.5690269444444445,123.82953416666666"
8655,Watusakau,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.4783333333333335,123.79027777777777"
8499,Batumandi,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-4.897222222222222,122.06944444444444"
8522,Anano Arumba Assa,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.293604444444444,124.29952694444444"
8433,Kadatua,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.5313888888888885,122.49416666666667"
8439,Komearate,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.163055555555556,123.07"
8344,Matanolatu Selatan,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.888199999999999,122.7537"
8634,Tonuapovelea,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.551316944444444,123.87426444444444"
8526,Anano,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.295077222222222,124.29687333333334"
8742,Wacuea Witaitonga,"",SULAWESI TENGGARA,Kab. BUTON UTARA,"","","-4.819999999999999,123.08999999999999"
8579,Lontolonto,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.385992777777778,123.60183388888888"
8619,Simpora,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.392023611111112,123.5972425"
8568,Laronutee,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.35361111111111,123.54916666666666"
8244,Barigau Timur,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.88885,122.75815"
8423,Batumandawu Dua,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.690555555555556,122.7275"
8294,Labokeo Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.927183333333334,122.7605"
8216,Batumandi,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-4.181388888888889,121.48944444444444"
8269,Ghodo Utara,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.90339,122.75714"
8409,Wandolola,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.897216666666666,122.76495"
8695,Kayudakka,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4994444444444444,122.42583333333334"
8647,Watugalasi,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.543888888888889,123.8711111111111"
8544,Kangka,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.463681944444445,123.77912944444445"
8573,Leluha,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.587222222222222,123.82666666666667"
8587,Ngaro Bahiti,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.533333333333333,123.86194444444443"
8725,Tukohpadinding Kima,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4925,122.46555555555555"
8422,Batulonde,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.170555555555556,123.06861111111111"
8716,Sisik,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.5000725,122.31998444444444"
8402,Tobea Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.574429722222222,122.68888222222223"
8578,Loho Tooge,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.423333333333334,123.59638888888888"
8554,Kota,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.335833333333333,124.3475"
8516,Soppe,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-4.813055555555556,121.6525"
8660,Wembe,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.487777777777778,123.73361111111112"
8636,Towaha,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.358888888888888,123.53833333333333"
