Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
6580,Batugosok,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.8030466666666667,125.18860916666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6580
834,Sarena Kecil Utara,"",SULAWESI UTARA,KOTA BITUNG,Bitung Selatan,"","1.456388888888889,125.25555555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/834
6663,Batuguhita,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.64552,125.47789555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6663
6494,Dakupang,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.3661505555555555,125.57266555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6494
6581,Batugurinda,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.8016691666666667,125.18859722222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6581
835,Susulina,"",SULAWESI UTARA,KOTA BITUNG,Bitung Selatan,"","1.523611111111111,125.2863888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/835
6664,Batukasaho,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.686324166666667,125.369885",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6664
6495,Dane,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.4273827777777774,125.68047",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6495
836,Ibantong,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Kotabunan,"","0.7119444444444444,124.63333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/836
6582,Batugurita,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.8858352777777778,125.09895472222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6582
6665,Batumapaha,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6585105555555555,125.4844425",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6665
6496,Dokole,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","4.6594219444444445,125.58899277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6496
837,Kumeke,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Kotabunan,"","0.8077777777777778,124.67361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/837
6583,Batukamanga,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.8013911111111112,125.18860916666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6583
306,MIANGAS,"",SULAWESI UTARA,Kab. KEPULAUAN TALAUD,MIANGAS,"","5.5557875,125.41477027777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/306
6666,Batumeo,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.134001666666667,125.40941277777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6666
6497,Dulunge,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","4.745289722222222,125.49002555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6497
6584,Batukapal,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.8469744444444447,125.13220361111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6584
838,Nenas ,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Kotabunan,"","0.7794444444444445,124.65583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/838
6667,Batunepo,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6551980555555557,125.47451527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6667
6498,Dumarehe,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.697423611111111,125.66704305555557",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6498
6585,Batukuhia,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.7430147222222223,125.16020583333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6585
839,Racun,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Kotabunan,"","0.8125,124.7025",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/839
6586,Batulogas,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.343611111111111,125.07805555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6586
6668,Batupaliaheng,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6605369444444444,125.4769788888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6668
6499,Ehise,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","4.655957222222223,125.59991666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6499
840,Molosing,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Lolak,"","0.9019444444444444,123.97555555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/840
6500,Empulage,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.3497261111111114,125.59403527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6500
6587,Batumeja,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.3452777777777778,125.07722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6587
6669,Batupuikang,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6604977777777776,125.47617472222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6669
841,Tikus,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Lolak,"","0.8572222222222222,123.92416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/841
