Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
609,BARINGIN,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.9094444444444443,100.6388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/609
534,PANDERAI,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,01?38’05” LS dan 99?12’59” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/534
535,Panjangsaibi,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,01?21’38” LS dan 99?06’59” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/535
610,BATUBSANGGUA,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-0.24666666666666667,100.43138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/610
536,PELA,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,01?00’57” LS dan 98?57’45” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/536
444,SIBARUBARU,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,-,"","-3.2888888888888888,99.65833333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/444
611,BATUAJUANG KETEK,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.271388888888889,100.41916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/611
537,PUBAGGUUAT,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,02?22’17” LS dan 99?44’45” BT. ,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/537
445,NIAU,"SINYAUNYAU, NGIAU",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,SIBERUT SELATAN,"","-1.863888888888889,98.91388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/445
612,BATUBADATUIH,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.4113888888888888,100.4925",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/612
538,BUKKUSIMAPUSUSIMA BAREK,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,01?59’36” LS dan 99?33’19” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/538
613,BATUDANDANG,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.3463888888888889,100.51861111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/613
539,BUKKUSIMAPUSUSIMA PIOK,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,01?39’35” LS dan 99?33’16” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/539
614,BATUDANDANG SELATAN,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.375,100.5586111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/614
540,PITOIAT SABEU,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,02?75’51” LS dan 99?31’58” BT. ,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/540
615,BATUDANDANG UTARA,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.1588888888888889,100.36916666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/615
541,PITOIAT SIGOISO,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,02?07’26” LS dan 99?31’26” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/541
616,BATUKARETA,"",SUMATERA BARAT,Kab. PESISIR SELATAN,"","","-1.353888888888889,100.56416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/616
542,RANGEHRANGERAK,"",SUMATERA BARAT,Kab. KEPULAUAN MENTAWAI,01?22’54” LS dan 99?06’49” BT,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/542
