Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
1723,Deltaaersugihan,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.5033333333333334,105.1875"
1725,Deltaupang,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.563611111111111,104.94333333333334"
1727,Kalong,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.6035291666666667,104.35289194444444"
1724,Deltatelang,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.6011111111111114,104.87333333333332"
1728,Ketiu,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.836666666666667,104.82111111111111"
1738,Kemaro,"",SUMATERA SELATAN,KOTA PALEMBANG,"",,"-2.979444444444445,104.82111111111111"
1731,Lopak Kecik,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.360005,104.70258694444445"
1714,Maspari,"",SUMATERA SELATAN,Kab. OGAN KOMERING ILIR,"",,"-3.2194444444444446,106.21722222222222"
1718,Betet,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-1.761388888888889,104.52055555555556"
1735,Singgris,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.563055555555555,104.93055555555556"
1733,Salahnamo,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.9580555555555557,104.8711111111111"
1729,Kramat,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",2° 31' 7.668
1730,Lopak Besak,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.3594444444444447,104.7063888888889"
1737,Kerto,"",SUMATERA SELATAN,KOTA PALEMBANG,"",,"-3.0327777777777776,104.6613888888889"
1716,Alanggantang,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-1.9283333333333332,104.56972222222223"
1726,Gundul,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.664722222222222,104.94277777777778"
1734,Selatcemara,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.5310691666666667,104.93427694444445"
1732,Payung,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.371111111111111,104.91933222222222"
1720,Brendam,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.5319444444444446,104.42222222222223"
1721,Burung,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.8615552777777777,104.89841416666667"
1719,Borang,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.910833333333333,104.88055555555555"
1722,Deltaaersalek,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.4925,104.9725"
1717,Alangtikus,"",SUMATERA SELATAN,Kab. BANYU ASIN,"",,"-2.3329777777777774,104.76539694444445"
