Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
683,Jimase,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.07055555555555555,98.63527777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/683
759,Tofu,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.38472222222222224,98.51972222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/759
294,SIMUK,"",SUMATERA UTARA,Kab. NIAS,PULAU-PULAU BATU,"","-0.0786111111111111,96.12722222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/294
684,Karanganjing,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.33194444444444443,98.57583333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/684
760,Tolong,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.03111111111111111,98.92944444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/760
685,Kasi,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.034999999999999996,98.62305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/685
1196,Sambilan,"",SUMATERA UTARA,Kab. LANGKAT,"","","0.15555555555555556,98.25527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1196
686,Kasi Timur,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.09027777777777778,98.95027777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/686
1197,Selingkar,"",SUMATERA UTARA,Kab. LANGKAT,"","","0.0025,98.39416666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1197
446,WUNGA,"",SUMATERA UTARA,Kab. NIAS UTARA,AFULU,"","1.2275,96.91361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/446
1299,Simakonde,"",SUMATERA UTARA,Kab. NIAS SELATAN,"","","-0.3988888888888889,98.50888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1299
687,Katadok,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.0936111111111111,98.50527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/687
764,Ular,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.08972222222222222,98.89611111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/764
688,Laga,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.03277777777777778,98.45861111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/688
689,Lajohene,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.04083333333333333,98.43583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/689
766,Tulas,"",SUMATERA UTARA,Kab. SAMOSIR,Sianjur Mulamula,"","2.643611111111111,98.64527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/766
690,Lalibo,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.1113888888888889,98.51333333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/690
691,Latoega,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.1725,98.56777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/691
767,Malau Satu,"",SUMATERA UTARA,Kab. SAMOSIR,Simanindo,"","2.7630555555555554,98.74138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/767
692,Lorang,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","0.0008333333333333334,98.22361111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/692
768,Malau Dua,"",SUMATERA UTARA,Kab. SAMOSIR,Simanindo,"","2.757222222222222,98.74388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/768
693,Lulua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.026666666666666665,98.2575",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/693
1208,Sikantan,"",SUMATERA UTARA,Kab. LABUHAN BATU,"","","0.5088888888888888,100.1613888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1208
769,Samosir,"",SUMATERA UTARA,Kab. SAMOSIR,"","","2.602222222222222,98.80499999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/769
694,Maha,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.10666666666666667,98.49027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/694
770,Tolping,"",SUMATERA UTARA,Kab. SAMOSIR,Simanindo,"","2.7119444444444447,98.81277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/770
453,BERHALA,"",SUMATERA UTARA,Kab. SERDANG BEDAGAI,TANJUNGBERINGIN,"","3.7733333333333334,98.50055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/453
1210,Batuajung,"",SUMATERA UTARA,Kab. MANDAILING NATAL,"","","0.2202725,98.85892777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1210
695,Maole Sabua,"",SUMATERA UTARA,Kab. NIAS SELATAN,"","","0.785,97.62666666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/695
771,sokongsiembang,"",SUMATERA UTARA,Kab. SERDANG BEDAGAI,Tanjung Beringin,"","3.7808333333333333,99.49166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/771
1211,Batubaniang,"",SUMATERA UTARA,Kab. MANDAILING NATAL,"","","0.34888888888888886,99.11083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1211
696,Maole Sideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,"","","0.7852777777777777,97.62583333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/696
772,Bangke,"",SUMATERA UTARA,KOTA SIBOLGA,Sibolga Utara,"","1.7169444444444446,98.76361111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/772
697,Maole Tengah,"",SUMATERA UTARA,Kab. NIAS SELATAN,"","","0.7602777777777778,97.63694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/697
773,Sarudik,"",SUMATERA UTARA,KOTA SIBOLGA,Sibolga Sambas,"","1.7280555555555557,98.78027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/773
